title,genre,year,netflix
워킹데드,드라마,2017,수상: Nominated for 1 Golden Globe. Another 75 wins & 207 nominations.
베트남 전쟁 10부작,드라마,2017,"유명 다큐멘터리 감독 켄 번스, 린 노빅과 되짚어 보는 베트남 전쟁. 18시간에 이르는 총 10개 에피소드를 연대순으로 구성했다. 참전 용사, 반전 시위자, 정치인 및 그들 가족의 이야기와 실제 영상 등 귀중한 자료를 담은 작품."
뱀파이어 다이어리,드라마,2017,수상: 36 wins & 66 nominations.
엄브렐러 아카데미,드라마 NETFLIX ORIGINAL,2019,수상: Nominated for 2 Primetime Emmys. Another 3 wins & 14 nominations.
튜더스,드라마,2010,수상: Nominated for 3 Golden Globes. Another 49 wins & 79 nominations.
밀매자들,드라마,2016,돈이면 다 되는 검은 시장. 저널리스트 넬러퍼 헤다야트가 세계 곳곳을 돌며 그 실상을 포착한다. 무기와 금은 물론이고 인체 장기까지 사고파는 이 은밀한 거래의 실체는?
토이: 우리가 사랑한 장난감들,드라마 NETFLIX ORIGINAL,2018,"우리의 어린 시절을 함께한 액션 피겨와 모형, 인형들은 어떻게 만들어졌는가? 구상, 성공에서 때로는 실패까지, 수십억 달러 규모의 장난감 산업, 그 발자취를 따라가 본다."
제3의 매력,드라마,2018,"스물의 봄, 스물일곱의 여름, 그리고 서른둘의 가을과 겨울. 그렇게 두 남녀는 세 번째 만났다. 남들 눈엔 안 보이는, 서로가 가진 제3의 매력에 빠진 둘. 12년이란 긴 시간을 통과하며 그리는 두 사람의 연애 이야기."
모건 프리먼의 스토리 오브 맨,드라마,2017,수상: 2 nominations.
모건 프리먼의 스토리 오브 갓,드라마,2017,수상: Nominated for 1 Primetime Emmy. Another 1 nomination.
프린세스 다이애나,드라마,2017,짧은 생을 마감한 다이애나 비의 화려한 삶과 그 이면에 가려진 개인적 고뇌를 남동생과 측근 인물의 인터뷰를 통해 들어본다.
지금 웃기러 갑니다,드라마 NETFLIX ORIGINAL,2018,"코미디의 최전선을 만난다! 가장 핫한 코미디언들이 선보이는 30분짜리 스페셜. 은근한 농담과 포복절도 경험담, 난감한 고백이 쏟아진다. 도대체 언제까지 웃길 텐가!"
계단: 아내가 죽었다,드라마 NETFLIX ORIGINAL,2018,수상: 2 wins.
마음의 소리: Reboot,드라마,2018,"웹툰 작가 조석의 진짜 ‘마음의 소리’는 무엇? 엉뚱한 가족, 사랑스러운 애인, 얼간이 친구들과 함께하는 파란만장한 나날이 시작된다. 새로운 배우들로 리부트 완료!"
마음의 소리,드라마,2016,최장수 인기 개그 웹툰 '마음의 소리'를 원작으로 한 시트콤. 웹툰 작가 조석과 그의 괴짜 가족의 상상 이하 + 어드벤처 + 요절복통 일상이 펼쳐진다.
샨나라 연대기,드라마,2018,수상: 3 nominations.
일곱 개의 대죄,드라마,2015,수상: 1 nomination.
거리 마술 여행,드라마,2017,"그의 손놀림이 시작되면, 두 문화 사이의 간극이 요술처럼 사라진다네. 유럽 곳곳을 돌면서 현지인과 교감하고 자기만의 여행담을 만들어가는 마술사 애덤 트렌트. 여느 평범한 거리에서 펼쳐지는, 결코 평범하지 않은 마술쇼를 만나보자."
천성장가,드라마 NETFLIX ORIGINAL,2018,수상: 8 wins & 10 nominations.
리얼 고스트버스터즈,드라마,1990,수상: 3 nominations.
리얼 풋볼 팩토리,드라마,2006,축구 훌리건 문화의 불편한 역사를 조명한 다큐멘터리. 훌리건들 사이에 벌어지는 갈등과 소란의 실상을 실제 훌리건의 목소리로 생생히 들어본다.
더 랜치,드라마 NETFLIX ORIGINAL,2018,수상: Won 2 Primetime Emmys. Another 4 nominations.
레인,드라마 NETFLIX ORIGINAL,2018,언제까지 기다릴 것인가. 치명적 바이러스가 세상을 휩쓴 지 6년. 벙커에서 살아남은 남매는 젊은 생존자 무리에 합류한다. 가족을 찾기 위한 위험한 여정의 시작.
수호자,드라마 NETFLIX ORIGINAL,2018,이스탄불의 청년이 예상치 못한 운명을 마주한다. 바로 고대로부터 내려온 수호자의 임무! 도시를 위협하는 불멸자의 마수에 맞서는 영웅의 싸움을 그린 현대 판타지 액션.
The Principal,드라마,2015,수상: 1 nomination.
왕자변청와,드라마,2005,결혼식 직전에 차에 치인 냉혹한 CEO는 의식을 회복한 후 새사람이 된다. 그가 운전기사와 사랑에 빠지면서 그의 앞길에는 더 많은 변화가 펼쳐진다.
파워퍼프걸,드라마,2016,수상: Won 2 Primetime Emmys. Another 2 wins & 17 nominations.
세계에서 찾은 길,드라마,2014,열풍을 일으킨 다큐멘터리 시리즈. 전 세계 여러 곳을 돌며 발전과 보전이 동시에 가능한지 탐구해 본다.
더 페이퍼,드라마,2018,신문사 인수를 서두르는 대기업. 언론을 주무를 수 있다는 건 정치든 사업이든 마음대로 설계할 수 있다는 뜻. 권력과 돈을 위해서라면 어떤 것도 서슴지 않는 군상의 이야기.
더 패키지,드라마,2017,수상: 1 win & 2 nominations.
출중한 여자,드라마,2014,"어린 나이에 패션지 에디터로 승승장구하며 부족할 게 없어 보이는 그녀지만, 일과 우정, 사랑 사이에서 균형을 유지하는 일은 어렵기만 하다."
The Originals,드라마,2017,수상: Nominated for 1 Primetime Emmy. Another 12 nominations.
OA,드라마 NETFLIX ORIGINAL,2016,수상: 1 win & 7 nominations.
손오공: 새로운 전설,드라마 NETFLIX ORIGINAL,2018,수상: 2 wins & 4 nominations.
삼총사,드라마,2016,"알렉상드르 뒤마의 고전을 바탕으로 한 시리즈물로, 1630년대의 파리에서 조국을 지키기 위해 싸우는 네 명의 허무맹랑한 친구들이 등장한다."
